108000	1221
396000	1
348000	15
125000	148
1800000	2
547500	2
110000	13
146000	2
195000	2
49800	2
438000	1
15000	2
630000	4
21000	38
155999	3
144000	151
156000	64
120000	255
73000	17
342000	3
65000	2
81000	9
24000000	1
180000	737
280000	1
192000	127
93600	1
450000	175
49200	1
120450	1
3300000	1
190000	1
75000	26
69000	17
58400	1
34200	1
285000	1
36000	35
140000	13
100000	2
234000	19
264000	3
63000	577
650000	13
174000	9
54750	19
80000	7
460000	1
204000	9
51600	1
27375	1
730000	2
222000	67
3600000	2
960000	1
168000	162
325000	15
246000	13
1300000	1
70000	13
198000	40
119000	1
155000	1
93000	1
408000	1
37200	3
251999	1
185999	2
300000	217
345000	1
130000	3
160000	4
402000	1
312000	1
26400	1
89400	1
584000	2
71400	1
70800	3
74400	2
700000	5
43200	1
72000	267
42000	21
840000	3
51000	25
95000	4
565000	1
294000	1
87000	3
550000	56
390000	53
375000	12
282000	2
525000	5
570000	4
62400	1
380000	6
378000	2
162000	49
1200000	21
42600	2
57000	21
52800	2
40800	1
210000	729
18250	2
480000	74
77400	1
216000	46
109500	9
47400	1
12500	1
170000	1
215000	4
780000	9
150000	1340
1150000	2
225000	38
2700000	2
138000	432
47450	4
64200	1
55000	4
288000	38
44895	1
114000	87
67800	3
318000	15
182500	1
372000	2
65700	2
900000	22
200000	15
276000	13
85000	1
720000	54
498000	1
252000	19
45600	3
490000	1
12600	1
2400000	1
186000	16
500000	26
425000	8
35400	1
258000	31
39000	6
33000	3
90000	310
45000	211
43800	10
336000	1
94900	1
115000	5
132000	134
800000	6
48000	88
83400	1
24000	4
310000	1
275000	19
250000	132
18000	4
6000000	1
64800	1
None	72
30000	60
145000	2
76200	1
36500	22
125999	17
37800	2
456000	1
102000	114
475000	4
1020000	11
126000	133
105000	4
﻿180000	1
3000000	2
260000	1
78000	216
60000	125
84000	1085
240000	438
360000	280
305000	2
600000	25
175000	82
66000	109
35000	2
750000	12
135000	1
185000	37
675000	1
165000	3
97500	1
430000	1
220000	1
324000	5
96000	284
1500000	3
420000	145
400000	40
38400	1
575000	1
540000	66
315000	2
57600	1
660000	13
54000	93
350000	96
290000	1
270000	613
230000	1
228000	32
330000	201
2160000	1
265000	2
27000	6
58200	1
22500	3
69600	4
43435	1
510000	4
1080000	1
